FlightHour,HourlyAvgTemperature,HourlyAvgDewPoint,HourlyAvgRelativeHumidity,HourlyAvgWindSpeed,HourlyAvgVisibility
2021-08-05 05,71.0,65.0,80.78,7.0,10.0
2021-08-05 06,71.0,65.0,80.78,7.0,10.0
2021-08-05 07,70.0,65.0,83.86,8.0,10.0
2021-08-05 08,69.0,65.0,86.48,7.0,10.0
2021-08-05 09,69.0,65.0,86.48,8.0,10.0
2021-08-05 10,69.0,65.0,86.48,8.0,9.0
2021-08-05 11,69.5,65.0,85.17,7.5,9.0
2021-08-05 12,73.0,66.0,78.7,7.0,9.0
2021-08-05 13,73.5,66.5,78.74,6.5,9.0
2021-08-05 14,77.0,66.5,70.04,6.0,10.0
2021-08-05 15,80.0,66.0,62.17,8.0,10.0
2021-08-05 16,82.0,65.0,56.24,8.0,10.0
2021-08-05 17,83.0,63.0,51.1,12.0,10.0
2021-08-05 18,83.5,64.0,52.0,6.5,10.0
2021-08-05 19,84.0,62.0,47.78,6.0,10.0
2021-08-05 20,85.0,63.0,47.91,7.0,10.0
2021-08-05 21,83.0,63.0,51.1,7.0,10.0
2021-08-05 22,84.0,61.0,45.96,5.0,10.0
2021-08-05 23,82.0,63.0,52.62,6.0,10.0
2021-08-06 00,81.0,63.0,54.36,6.0,10.0
2021-08-06 01,79.0,65.0,62.03,3.0,10.0
2021-08-06 02,78.0,65.0,63.9,4.0,10.0
2021-08-06 03,76.0,65.0,68.73,5.0,10.0
2021-08-06 04,74.0,66.0,76.36,5.0,10.0
2021-08-06 05,74.0,66.0,76.36,5.0,10.0
2021-08-06 06,72.0,67.0,83.99,0.0,10.0
2021-08-06 07,71.0,66.0,83.93,0.0,10.0
2021-08-06 08,71.0,67.0,86.59,3.0,10.0
2021-08-06 09,71.0,67.0,86.59,3.0,10.0
2021-08-06 10,72.0,66.0,81.41,4.0,10.0
2021-08-06 11,72.0,67.0,83.99,5.0,10.0
2021-08-06 12,74.0,65.0,73.49,7.0,10.0
2021-08-06 13,77.0,67.0,71.03,7.0,10.0
2021-08-06 14,78.0,66.0,66.39,6.0,10.0
2021-08-06 15,81.0,66.0,60.37,11.0,10.0
2021-08-06 16,83.0,65.0,54.62,10.0,10.0
2021-08-06 17,85.0,64.0,49.62,7.0,10.0
2021-08-06 18,85.0,63.0,47.91,7.0,10.0
2021-08-06 19,84.0,63.0,49.32,8.0,10.0
2021-08-06 20,84.0,62.0,47.78,5.0,10.0
2021-08-06 21,84.0,64.0,51.08,8.0,10.0
2021-08-06 22,84.0,63.0,49.32,6.0,10.0
2021-08-06 23,82.0,65.0,56.24,7.0,10.0
2021-08-07 00,80.0,64.0,57.98,5.0,10.0
2021-08-07 01,78.0,67.0,68.49,4.0,10.0
2021-08-07 02,78.0,67.0,68.49,3.0,10.0
2021-08-07 03,77.0,68.0,73.78,4.0,10.0
2021-08-07 04,76.0,68.0,76.53,6.0,10.0
2021-08-07 05,74.0,69.0,84.97,5.0,10.0
2021-08-07 06,74.0,69.0,84.97,4.0,10.0
2021-08-07 07,73.0,69.0,87.59,0.0,10.0
2021-08-07 08,72.0,68.0,87.24,0.0,10.0
2021-08-07 09,73.0,68.0,84.34,0.0,10.0
2021-08-07 10,72.0,68.0,87.24,0.0,10.0
2021-08-07 11,74.0,69.0,84.97,0.0,10.0
2021-08-07 12,77.0,70.0,79.02,0.0,10.0
2021-08-07 13,79.0,70.0,73.97,3.0,10.0
2021-08-07 14,82.0,70.0,67.06,6.0,10.0
2021-08-07 15,83.0,65.0,54.62,4.0,10.0
2021-08-07 16,86.0,68.0,55.04,9.0,10.0
2021-08-07 17,85.0,64.0,49.62,5.0,10.0
2021-08-07 18,87.0,63.5,45.6,1.5,10.0
2021-08-07 19,86.5,63.5,46.26,5.5,10.0
2021-08-07 20,77.0,68.0,73.98,7.5,9.5
2021-08-07 21,80.0,67.0,64.38,7.5,10.0
2021-08-07 22,80.0,66.0,61.98,9.5,10.0
2021-08-07 23,77.0,67.0,71.03,7.0,10.0
2021-08-08 00,75.0,67.0,75.92,3.0,10.0
2021-08-08 01,75.0,66.0,73.59,0.0,10.0
2021-08-08 02,74.0,66.0,76.36,0.0,10.0
2021-08-08 03,73.0,66.0,78.7,4.0,10.0
2021-08-08 04,74.0,65.0,73.49,0.0,10.0
2021-08-08 05,71.0,66.0,83.93,4.0,10.0
2021-08-08 06,71.0,66.0,83.93,0.0,10.0
2021-08-08 07,70.0,65.0,83.86,0.0,10.0
2021-08-08 08,70.0,65.0,83.86,0.0,10.0
2021-08-08 09,70.0,66.0,87.14,0.0,10.0
2021-08-08 10,72.0,66.0,81.41,3.0,10.0
2021-08-08 11,72.0,67.0,83.99,0.0,10.0
2021-08-08 12,76.0,68.0,76.53,3.0,10.0
2021-08-08 13,79.0,68.0,69.07,0.0,10.0
2021-08-08 14,81.0,67.0,62.28,0.0,10.0
2021-08-08 15,84.0,67.0,56.51,0.0,10.0
2021-08-08 16,84.0,68.0,58.69,0.0,10.0
2021-08-08 17,86.0,67.0,52.99,6.0,10.0
2021-08-08 18,86.0,67.0,52.99,3.0,10.0
2021-08-08 19,87.0,67.0,51.17,3.0,10.0
2021-08-08 20,89.0,68.0,49.88,6.0,10.0
2021-08-08 21,87.0,67.0,51.17,4.0,10.0
2021-08-08 22,85.0,67.0,54.89,4.0,10.0
2021-08-08 23,84.0,67.0,56.51,5.0,10.0
2021-08-09 00,82.0,68.0,62.62,3.0,10.0
2021-08-09 01,80.0,69.0,69.18,6.0,10.0
2021-08-09 02,78.0,68.0,71.14,5.0,10.0
2021-08-09 03,77.0,69.0,76.62,3.0,10.0
2021-08-09 04,76.0,69.0,79.47,0.0,10.0
2021-08-09 05,76.0,69.0,79.47,3.0,10.0
2021-08-09 06,75.0,70.0,84.46,3.0,10.0
2021-08-09 07,74.0,69.0,84.97,3.0,10.0
2021-08-09 08,74.0,69.0,84.97,0.0,10.0
2021-08-09 09,74.0,69.0,84.97,3.0,10.0
2021-08-09 10,73.0,68.0,84.34,0.0,10.0
2021-08-09 11,75.0,69.0,81.9,0.0,9.0
2021-08-09 12,80.0,71.0,74.07,3.0,9.0
2021-08-09 13,84.0,75.0,74.43,4.0,9.0
2021-08-09 14,86.0,70.0,58.95,4.0,9.0
2021-08-09 15,86.0,69.0,57.16,5.0,9.0
2021-08-09 16,86.0,70.0,58.95,5.0,9.0
2021-08-09 17,87.0,68.0,53.15,0.0,10.0
2021-08-09 18,80.0,73.0,78.99,11.0,8.0
2021-08-09 19,84.0,70.0,62.86,0.0,10.0
2021-08-09 20,88.0,69.0,53.64,3.0,10.0
2021-08-09 21,85.0,71.0,63.4,3.0,10.0
2021-08-09 22,84.0,73.0,69.59,6.0,9.0
2021-08-09 23,83.0,74.0,74.33,5.0,9.0
2021-08-10 00,80.0,73.0,78.99,4.0,9.0
2021-08-10 01,80.0,72.0,76.36,4.0,10.0
2021-08-10 02,80.0,73.0,78.99,0.0,9.0
2021-08-10 03,78.0,73.0,84.36,3.0,9.0
2021-08-10 04,75.0,71.0,87.68,3.0,9.0
2021-08-10 05,75.0,70.0,84.46,4.0,9.0
2021-08-10 06,75.0,69.0,81.9,0.0,9.0
2021-08-10 07,74.0,68.0,81.82,4.0,10.0
2021-08-10 08,74.0,69.0,84.97,0.0,10.0
2021-08-10 09,75.0,69.0,81.9,3.0,10.0
2021-08-10 10,75.0,69.0,81.9,0.0,10.0
2021-08-10 11,77.0,71.0,82.03,0.0,10.0
2021-08-10 12,80.0,71.0,74.07,3.0,10.0
2021-08-10 13,84.0,72.0,67.28,4.0,10.0
2021-08-10 14,86.0,72.0,63.1,5.0,10.0
2021-08-10 15,88.0,73.0,61.24,4.0,10.0
2021-08-10 16,89.0,72.0,57.18,3.0,10.0
2021-08-10 17,87.0,73.0,63.02,6.0,10.0
2021-08-10 18,90.0,72.0,55.58,6.0,10.0
2021-08-10 19,90.0,71.0,53.91,8.0,10.0
2021-08-10 20,90.0,72.0,55.58,8.0,10.0
2021-08-10 21,81.0,65.0,58.1,7.0,10.0
2021-08-10 22,82.0,70.0,67.06,3.0,10.0
2021-08-10 23,82.0,72.0,71.78,5.0,10.0
2021-08-11 00,80.0,72.0,76.36,4.0,10.0
2021-08-11 01,78.0,70.0,76.19,4.0,10.0
2021-08-11 02,77.0,70.0,79.02,3.0,10.0
2021-08-11 03,78.0,69.0,73.88,3.0,10.0
2021-08-11 04,75.0,70.0,84.46,0.0,10.0
2021-08-11 05,75.0,69.0,81.9,4.0,10.0
2021-08-11 06,75.0,70.0,84.46,3.0,10.0
2021-08-11 07,74.0,70.0,87.63,4.0,10.0
2021-08-11 08,74.0,71.0,90.97,5.0,10.0
2021-08-11 09,74.0,70.0,87.63,4.0,10.0
2021-08-11 10,74.0,70.0,87.63,5.0,10.0
2021-08-11 11,75.0,69.0,81.9,3.0,10.0
2021-08-11 12,78.0,70.0,76.19,3.0,10.0
2021-08-11 13,82.0,70.0,67.06,8.0,9.0
2021-08-11 14,85.0,70.0,61.06,7.0,10.0
2021-08-11 15,87.0,73.0,63.02,5.0,10.0
2021-08-11 16,87.0,72.0,60.92,4.0,10.0
2021-08-11 17,83.33,71.67,68.38,7.0,8.67
2021-08-11 18,78.0,69.0,73.88,4.0,10.0
2021-08-11 19,78.0,68.0,71.18,2.5,10.0
2021-08-11 20,79.5,68.5,69.17,9.0,10.0
2021-08-11 21,77.0,69.0,76.62,7.0,10.0
2021-08-11 22,77.0,70.0,79.02,6.0,10.0
2021-08-11 23,77.0,70.0,79.02,6.0,10.0
2021-08-12 00,77.0,70.0,79.02,4.0,10.0
2021-08-12 01,76.0,70.0,81.96,4.0,10.0
2021-08-12 02,75.0,70.0,84.46,0.0,10.0
2021-08-12 03,73.0,70.0,90.32,3.0,10.0
2021-08-12 04,73.0,70.0,90.32,5.0,9.0
2021-08-12 05,73.0,70.0,90.32,0.0,10.0
2021-08-12 06,73.0,70.0,90.32,3.0,10.0
2021-08-12 07,72.0,69.0,90.59,3.0,10.0
2021-08-12 08,73.0,69.0,87.59,3.0,10.0
2021-08-12 09,73.0,69.0,87.59,3.0,10.0
2021-08-12 10,73.0,69.0,87.59,5.0,10.0
2021-08-12 11,73.0,70.0,90.32,6.0,10.0
2021-08-12 12,77.0,70.0,79.02,6.0,10.0
2021-08-12 13,80.0,70.0,71.35,6.0,10.0
2021-08-12 14,84.0,69.0,60.95,0.0,10.0
2021-08-12 15,86.0,69.0,57.16,0.0,10.0
2021-08-12 16,89.0,68.0,49.88,6.0,10.0
2021-08-12 17,90.0,71.0,53.91,5.0,10.0
2021-08-12 18,87.0,69.0,55.19,5.0,10.0
2021-08-12 19,89.0,70.0,53.42,3.0,10.0
2021-08-12 20,88.0,70.0,55.32,7.0,10.0
2021-08-12 21,90.0,71.0,53.91,5.0,10.0
2021-08-12 22,88.0,70.0,55.32,4.0,10.0
2021-08-12 23,87.0,71.0,59.09,2.0,10.0
2021-08-13 00,83.0,69.0,62.99,7.5,10.0
2021-08-13 01,83.0,70.5,66.38,6.0,10.0
2021-08-13 02,76.5,67.5,73.68,14.0,3.5
2021-08-13 03,74.5,69.0,83.44,8.5,9.0
2021-08-13 04,74.0,69.5,86.3,6.5,10.0
2021-08-13 05,74.0,69.0,84.97,3.0,10.0
2021-08-13 06,74.0,68.0,81.82,0.0,10.0
2021-08-13 07,74.0,69.0,84.97,0.0,10.0
2021-08-13 08,72.0,68.0,87.24,3.0,10.0
2021-08-13 09,73.0,68.0,84.34,0.0,10.0
2021-08-13 10,72.0,69.0,90.59,4.0,10.0
2021-08-13 11,74.0,69.0,84.97,0.0,10.0
2021-08-13 12,77.0,70.0,79.02,4.0,10.0
2021-08-13 13,81.0,70.0,69.28,5.0,10.0
2021-08-13 14,84.0,69.0,60.95,4.0,10.0
2021-08-13 15,87.0,70.0,56.92,0.0,10.0
2021-08-13 16,88.0,70.0,55.32,7.0,10.0
2021-08-13 17,88.0,69.0,53.64,6.0,10.0
2021-08-13 18,89.0,69.0,51.8,3.0,10.0
2021-08-13 19,89.0,70.0,53.42,3.0,10.0
2021-08-13 20,90.0,68.0,48.49,0.0,10.0
2021-08-13 21,91.0,68.0,46.99,8.0,10.0
2021-08-13 22,90.0,67.0,46.68,6.0,10.0
2021-08-13 23,87.0,68.0,53.15,7.0,10.0
2021-08-14 00,84.0,70.0,62.86,6.0,10.0
2021-08-14 01,82.0,70.0,67.06,5.0,10.0
2021-08-14 02,82.0,71.0,69.62,5.0,10.0
2021-08-14 03,80.0,71.0,74.07,3.0,10.0
2021-08-14 04,80.0,71.0,74.07,0.0,10.0
2021-08-14 05,78.0,71.0,79.1,0.0,10.0
2021-08-14 06,78.0,71.0,79.1,0.0,10.0
2021-08-14 07,77.0,71.0,82.03,0.0,10.0
2021-08-14 08,77.0,70.0,79.02,0.0,10.0
2021-08-14 09,74.0,70.0,87.63,3.0,10.0
2021-08-14 10,75.0,70.0,84.46,0.0,10.0
2021-08-14 11,76.0,71.0,85.09,5.0,10.0
2021-08-14 12,80.0,71.0,74.07,3.0,10.0
2021-08-14 13,85.0,71.0,63.4,0.0,10.0
2021-08-14 14,87.0,69.0,55.19,4.0,10.0
2021-08-14 15,88.0,70.0,55.32,0.0,10.0
2021-08-14 16,91.0,70.0,50.33,7.0,10.0
2021-08-14 17,91.0,68.0,46.99,0.0,10.0
2021-08-14 18,93.0,69.0,45.85,4.0,10.0
2021-08-14 19,93.0,69.0,45.85,8.0,10.0
2021-08-14 20,93.0,69.0,45.85,4.0,10.0
2021-08-14 21,81.67,69.67,69.41,14.0,7.67
2021-08-14 22,75.5,70.0,83.21,7.5,10.0
2021-08-14 23,78.0,69.0,73.88,8.0,10.0
2021-08-15 00,76.0,69.0,79.47,4.0,10.0
2021-08-15 01,76.0,69.0,79.47,6.0,10.0
2021-08-15 02,75.0,69.0,81.9,8.0,10.0
2021-08-15 03,75.0,69.0,81.9,6.0,10.0
2021-08-15 04,73.0,69.0,87.59,4.0,10.0
2021-08-15 05,73.67,69.0,85.84,2.33,10.0
2021-08-15 06,73.0,69.0,87.59,6.0,10.0
2021-08-15 07,73.0,69.0,87.59,7.0,10.0
2021-08-15 08,72.5,69.0,89.09,5.5,10.0
2021-08-15 09,73.0,69.0,87.59,6.0,10.0
2021-08-15 10,72.33,69.0,89.59,6.33,10.0
2021-08-15 11,73.0,69.0,87.59,5.0,7.0
2021-08-15 12,73.0,69.67,89.41,4.0,2.0
2021-08-15 13,75.0,70.0,84.46,0.0,5.0
2021-08-15 14,76.0,70.0,81.96,1.5,6.0
2021-08-15 15,79.0,70.0,73.97,0.0,7.0
2021-08-15 16,80.5,71.0,73.0,4.5,10.0
2021-08-15 17,84.0,70.0,62.86,7.0,10.0
2021-08-15 18,85.0,69.0,59.21,9.0,10.0
2021-08-15 19,87.0,69.0,55.19,12.0,10.0
2021-08-15 20,84.0,69.0,60.95,8.0,10.0
2021-08-15 21,86.0,69.0,57.16,9.0,10.0
2021-08-15 22,85.0,69.0,59.21,12.0,10.0
2021-08-15 23,81.0,71.0,71.92,5.0,10.0
2021-08-16 00,79.0,69.0,71.72,6.0,10.0
2021-08-16 01,78.0,69.0,73.88,4.0,10.0
2021-08-16 02,78.0,70.0,76.19,5.0,10.0
2021-08-16 03,77.0,71.0,82.03,4.0,10.0
2021-08-16 04,77.0,71.0,82.03,4.0,10.0
2021-08-16 05,76.0,72.0,87.73,3.0,10.0
2021-08-16 06,76.0,71.0,85.09,3.0,10.0
2021-08-16 07,75.0,71.0,87.68,4.0,10.0
2021-08-16 08,76.0,71.5,86.41,5.5,10.0
2021-08-16 09,75.0,71.0,87.68,8.0,10.0
2021-08-16 10,74.5,71.0,89.32,3.5,10.0
2021-08-16 11,75.0,70.0,84.46,5.0,10.0
2021-08-16 12,75.5,70.0,83.21,8.0,10.0
2021-08-16 13,78.0,69.0,73.88,5.0,10.0
2021-08-16 14,78.0,70.0,76.19,7.0,10.0
2021-08-16 15,80.0,71.0,74.07,7.0,10.0
2021-08-16 16,80.0,70.0,71.35,9.0,10.0
2021-08-16 17,82.0,70.0,67.06,7.0,10.0
2021-08-16 18,84.0,69.0,60.95,6.0,10.0
2021-08-16 19,78.0,71.5,80.9,12.0,3.0
2021-08-16 20,76.0,71.5,86.41,7.0,9.5
2021-08-16 21,76.0,71.0,85.09,10.0,10.0
2021-08-16 22,74.0,70.5,89.0,10.5,6.25
2021-08-16 23,73.0,70.0,90.32,10.0,6.5
2021-08-17 00,73.0,70.0,90.32,7.0,10.0
2021-08-17 01,73.0,70.5,92.04,9.5,8.0
2021-08-17 02,73.0,70.0,90.32,12.0,9.0
2021-08-17 03,73.0,70.0,90.32,10.0,10.0
2021-08-17 04,72.0,70.0,93.43,13.0,10.0
2021-08-17 05,72.0,70.0,93.43,12.0,8.0
2021-08-17 06,71.87,69.93,93.64,14.67,3.33
2021-08-17 07,72.0,70.0,93.43,15.0,3.0
2021-08-17 08,73.0,71.0,93.77,17.0,4.0
2021-08-17 09,73.08,71.12,93.84,16.4,2.3
2021-08-17 10,73.0,71.0,93.77,11.67,1.71
2021-08-17 11,73.6,71.4,93.16,11.5,8.0
2021-08-17 12,74.0,72.0,93.79,15.25,2.94
2021-08-17 13,74.0,72.0,93.79,12.67,1.67
2021-08-17 14,74.0,72.0,93.79,10.0,2.0
2021-08-17 15,74.0,71.0,90.97,10.0,2.0
2021-08-17 16,74.0,72.0,93.79,9.0,2.0
2021-08-17 17,76.0,73.0,90.74,11.0,2.0
2021-08-17 18,75.0,71.33,88.68,13.67,9.0
2021-08-17 19,75.5,71.0,86.5,11.5,6.5
2021-08-17 20,77.0,71.0,82.03,12.0,10.0
2021-08-17 21,78.0,70.0,76.19,10.0,10.0
2021-08-17 22,78.0,69.0,73.88,10.0,10.0
2021-08-17 23,77.0,69.0,76.62,9.0,10.0
2021-08-18 00,75.0,68.0,78.86,6.0,10.0
2021-08-18 01,73.0,69.0,87.59,3.0,10.0
2021-08-18 02,73.0,69.0,87.59,3.0,10.0
2021-08-18 03,72.0,68.0,87.24,0.0,10.0
2021-08-18 04,72.0,68.0,87.24,0.0,10.0
2021-08-18 05,72.0,68.0,87.24,0.0,10.0
2021-08-18 06,71.0,68.0,89.94,0.0,10.0
2021-08-18 07,71.0,68.0,89.94,0.0,10.0
2021-08-18 08,71.0,69.0,93.4,0.0,10.0
2021-08-18 09,72.0,68.0,87.24,0.0,10.0
2021-08-18 10,71.0,68.0,89.94,0.0,10.0
2021-08-18 11,72.0,69.0,90.59,0.0,10.0
2021-08-18 12,77.0,71.0,82.03,0.0,10.0
2021-08-18 13,82.0,71.0,69.62,0.0,10.0
2021-08-18 14,84.0,71.0,65.26,3.0,10.0
2021-08-18 15,85.0,69.0,59.21,0.0,10.0
2021-08-18 16,87.0,68.0,53.15,7.0,10.0
2021-08-18 17,86.0,67.0,52.99,0.0,10.0
2021-08-18 18,91.0,70.0,50.33,5.0,10.0
2021-08-18 19,88.0,67.0,49.73,3.0,10.0
2021-08-18 20,89.0,69.0,51.8,0.0,10.0
2021-08-18 21,90.0,69.0,50.36,0.0,10.0
2021-08-18 22,88.0,69.0,53.64,6.0,10.0
2021-08-18 23,86.0,71.0,61.2,6.0,10.0
2021-08-19 00,83.0,72.0,69.71,3.0,10.0
2021-08-19 01,82.0,73.0,74.24,3.0,10.0
2021-08-19 02,81.0,74.0,79.06,4.0,10.0
2021-08-19 03,79.0,74.0,84.41,4.0,10.0
2021-08-19 04,79.0,73.0,81.89,0.0,10.0
2021-08-19 05,78.0,73.0,84.36,4.0,10.0
2021-08-19 06,78.0,73.0,84.36,3.0,10.0
2021-08-19 07,77.0,72.0,84.58,3.0,10.0
2021-08-19 08,76.0,72.0,87.73,3.0,10.0
2021-08-19 09,77.0,72.0,84.58,3.0,10.0
2021-08-19 10,77.0,73.0,87.48,4.0,10.0
2021-08-19 11,77.0,72.0,84.58,0.0,10.0
2021-08-19 12,82.0,73.0,74.24,0.0,10.0
2021-08-19 13,84.0,73.0,69.59,6.0,10.0
2021-08-19 14,86.0,73.0,65.27,6.0,10.0
2021-08-19 15,88.0,72.0,59.21,8.0,10.0
2021-08-19 16,87.0,71.0,59.09,5.0,10.0
2021-08-19 17,91.0,72.0,53.87,6.0,10.0
2021-08-19 18,89.0,71.0,55.46,8.0,10.0
2021-08-19 19,79.55,70.35,73.56,23.5,10.0
2021-08-19 20,76.0,69.33,80.3,11.33,10.0
2021-08-19 21,78.0,69.0,73.88,6.0,10.0
2021-08-19 22,77.0,70.0,79.02,3.0,10.0
2021-08-19 23,77.0,71.0,82.03,4.0,10.0
2021-08-20 00,76.0,70.0,81.96,0.0,10.0
2021-08-20 01,75.0,71.0,87.68,6.0,10.0
2021-08-20 02,75.0,71.0,87.68,5.0,10.0
2021-08-20 03,74.0,71.0,90.97,3.0,10.0
2021-08-20 04,74.0,71.0,90.97,5.0,10.0
2021-08-20 05,74.0,71.0,90.97,5.0,10.0
2021-08-20 06,74.0,71.0,90.97,6.0,10.0
2021-08-20 07,73.0,71.0,93.77,5.0,10.0
2021-08-20 08,72.5,70.0,91.88,4.0,10.0
2021-08-20 09,72.0,70.0,93.43,4.0,10.0
2021-08-20 10,72.0,70.0,93.43,5.0,10.0
2021-08-20 11,73.2,69.9,89.42,9.0,10.0
2021-08-20 12,74.2,69.9,86.48,8.5,10.0
2021-08-20 13,76.5,71.0,83.56,9.5,10.0
2021-08-20 14,78.5,71.0,78.05,8.0,10.0
2021-08-20 15,80.5,70.5,71.8,10.0,10.0
2021-08-20 16,83.5,71.0,66.44,6.5,10.0
2021-08-20 17,86.0,71.0,61.2,9.0,10.0
2021-08-20 18,86.0,71.0,61.2,8.0,10.0
2021-08-20 19,87.0,71.0,59.09,10.0,10.0
2021-08-20 20,88.0,71.0,57.43,9.0,10.0
